state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, roc.v1_eer, 1, b, 3934, 0.4021352
goal.joint_independent, roc.v1_ca05, 1, b, 3934, 0.0000000
goal.joint_independent, roc.v1_ca10, 1, b, 3934, 0.0000000
goal.joint_independent, roc.v1_ca20, 1, b, 3934, 0.1301474
goal.joint_independent, roc.v2_ca05, 1, b, 3934, 0.0000000
goal.joint_independent, roc.v2_ca10, 1, b, 3934, 0.0000000
goal.joint_independent, roc.v2_ca20, 1, b, 3934, 0.2650879
method, acc, 1, b, 3934, 0.5831215
method, l2, 1, b, 3934, 0.7777075
method, l2.binary, 1, b, 3934, 0.7974956
method, avgp, 1, b, 3934, 0.5741964
method, neglogp, 1, b, 3934, 3.3379211
method, mrr, 1, b, 3934, 0.6194289
method, update.acc, 1, b, 3934, 0.4615649
method, update.prec, 1, b, 3934, 0.8395755
method, roc.v1_eer, 1, b, 3934, 0.4097611
method, roc.v1_ca05, 1, b, 3934, 0.0002542
method, roc.v1_ca10, 1, b, 3934, 0.0002542
method, roc.v1_ca20, 1, b, 3934, 0.3688358
method, roc.v2_ca05, 1, b, 3934, 0.0004359
method, roc.v2_ca10, 1, b, 3934, 0.0004359
method, roc.v2_ca20, 1, b, 3934, 0.0004359
all, acc, 1, b, 51142, 0.8838528
all, l2, 1, b, 51142, 0.2167983
all, l2.binary, 1, b, 51142, 0.2217210
all, avgp, 1, b, 51142, 0.8783131
all, neglogp, 1, b, 51142, 0.9065167
all, mrr, 1, b, 51142, 0.9013889
all, update.acc, 1, b, 51142, 0.7508483
all, update.prec, 1, b, 51142, 0.7822030
all, roc.v1_eer, 1, b, 51142, 0.1469829
all, roc.v1_ca05, 1, b, 51142, 0.0000000
all, roc.v1_ca10, 1, b, 51142, 0.8675062
all, roc.v1_ca20, 1, b, 51142, 0.8838528
all, roc.v2_ca05, 1, b, 51142, 0.0000000
all, roc.v2_ca10, 1, b, 51142, 0.0000000
all, roc.v2_ca20, 1, b, 51142, 0.0000000
